OBJECTID,DOWLKNUM,LK_PCTLTRL,LK_LZACRES,LK_LZDEPTH,AREA,ACRES,PERFEET,PERIMETER,LAKE_NAME,Shape_Length,Shape_Area
102138,03058800,55.50999832,522.84,15,2115921.668,522.844,102057.148,31107.081,Upper Cormorant,31107.08053,2115921.669
102139,03060200,70.98999786,474.65,15,1920864.577,474.646,65366.386,19923.714,Middle Cormorant,19923.71422,1920864.538
102140,03063100,99.38999939,496.74,15,2010285.355,496.742,42661.26,13003.178,Stakke,13003.17723,2010285.35
102141,03063500,100,120.1,15,486051.309,120.103,17696.064,5393.771,Gourd,5393.77052,486051.2985
102142,03063800,69.84999847,146.5,15,592894.953,146.504,43671.358,13311.056,Bijou,13311.0564,592894.9424
102143,03064500,100,128.75,15,521033.913,128.747,18278.301,5571.237,West LaBelle,5571.237874,521033.9281
102144,03064600,100,113.75,15,460335.726,113.749,15238.513,4644.708,Lime,4644.707957,460335.7096
102145,03064700,99.88999939,292.54,15,1183896.274,292.541,22952.897,6996.057,Stinking,6996.05668,1183896.253
102146,03064800,59.83000183,111.95,15,453065.214,111.952,25445.74,7755.877,East LaBelle,7755.877016,453065.2295
102147,03065700,35.36000061,66.11,15,267549.658,66.112,23985.197,7310.703,Turtle,7310.702736,267549.6114
102148,03065900,52.00999832,104.5,15,422892.445,104.497,43174.808,13159.708,Sand,13159.70778,422892.4367
102149,03066000,100,50.34,15,203733.77,50.34,14169.52,4318.88,Axberg,4313.208262,203756.2909
102150,04000700,52.20000076,953.12,15,3857212.536,953.117,143150.879,43632.475,Kitchi,43632.47639,3857212.583
102151,04001100,43.33000183,260.3,15,1053427.78,260.302,66479.551,20263.008,Moose,20263.00793,1053427.778
102152,04001600,50.45999908,19.31,15,78164.314,19.314,11123.334,3390.399,Little Gilstad,3390.399215,78164.31337
102153,04002400,37.25,95.64,15,387047.599,95.639,36526.408,11133.271,Gilstad,11133.27121,387047.6014
102154,04002800,96.62999725,35.12,15,142130.309,35.12,12182.787,3713.321,Bullhead,3713.321176,142130.3062
102155,04003000,43.45000076,6934.29,15,28062678.82,6934.288,651851.446,198684.718,Cass,198684.7201,28062678.85
102156,04003200,50.86000061,613.15,15,2481401.636,613.154,148748.596,45338.663,Pimushe,45338.66284,2481401.645
102157,04003300,51.95000076,17.2,15,69591.383,17.196,11528.706,3513.96,Benjamin,3513.96003,69591.37234
102158,04003800,34.68000031,551.37,15,2231347.657,551.366,98541.468,30035.499,Andrusia,30035.49945,2231347.658
102159,04004800,70.72000122,138.15,15,559080.94,138.149,18400.95,5608.621,Windigo,5608.6206,559080.9394
102160,04004900,57.29999924,2061.09,15,8341107.786,2061.088,155108.916,47277.292,Big,47277.29301,8341107.775
102161,04005300,28.40999985,62.93,15,254693.1,62.935,34601.727,10546.628,South Twin,10546.62732,254693.0946
102162,04006200,37.52000046,30,15,121389.761,29.995,15226.371,4641.007,Bass,4641.007351,121389.7618
102163,04006300,42.61000061,138.86,15,561970.321,138.863,38495.019,11733.305,North Twin,11733.30502,561970.3168
102164,04006900,45.68999863,1242.93,15,5030062.066,1242.928,119154.797,36318.455,Blackduck,36318.45445,5030062.068
102165,04007900,29.96999931,318.1,15,1287347.745,318.104,80347.441,24489.949,Wolf,24489.9489,1287347.735
102166,04011100,39.88000107,717.67,15,2904367.957,717.669,193963.708,59120.256,Turtle River,59120.2582,2904367.941
102167,04012000,68.25,1546.27,15,6257683.862,1546.274,119558.74,36441.577,Gull,36441.57633,6257683.89
102168,04012200,68.62999725,316.56,15,1281100.09,316.56,35555.509,10837.341,Medicine,10837.34073,1281100.088
102169,04013001,83,268.88,15,1088129.432,268.877,83585.205,25476.822,Stump,25476.82038,1088129.416
102170,04013002,27.63999939,1818.78,15,7360519.292,1818.784,190713.463,58129.58,Bemidji (main lake),58129.57933,7360519.315
102171,04013202,80.01999664,269.65,15,1091269.892,269.653,33713.829,10275.996,Big Bass (east basin),10275.99525,1091269.89
102172,04013400,88.73000336,685.83,15,2775524.432,685.832,61412.351,18718.522,Three Island,18718.52218,2775524.462
102173,04013500,55.86999893,405.49,15,1640990.692,405.489,79313.715,24174.869,Beltrami,24174.8691,1640990.697
102174,04014000,88.98999786,591.45,15,2393570.972,591.451,41316.301,12593.234,Irving,12593.23386,2393570.947
102175,04014200,55.79999924,295.95,15,1197704.788,295.953,47180.747,14380.721,Marquette,14380.72077,1197704.785
102176,04015200,51.09000015,436.05,15,1764673.169,436.051,87380.941,26633.764,Movil,26633.76431,1764673.185
102177,04015500,61.81999969,289.62,15,1172079.627,289.621,50828.786,15492.645,Little Turtle,15492.64487,1172079.659
102178,04015900,56.63999939,928.21,15,3756429.132,928.214,121805.032,37126.248,Turtle,37126.24705,3756429.126
102179,04016600,38.56000137,194.44,15,786896.359,194.442,60353.77,18395.866,Julia,18395.86586,786896.3187
102180,04019600,47.27999878,218.84,15,885636.682,218.841,60070.562,18309.544,Campbell,18309.54415,885636.6621
102181,04021700,38.11999893,78.86,15,319139.755,78.859,34556.014,10532.694,Grant,10532.69413,319139.7562
102182,04022700,99.41999817,663.85,15,2686550.295,663.847,43677.962,13313.069,Long,13313.06904,2686550.302
102183,04026500,99.88999939,424.21,15,1716765.758,424.213,24366.893,7427.044,Island,7427.043921,1716765.758
102184,04029700,28.27000046,57.01,15,230725.372,57.012,35596.689,10849.892,Buzzle,10849.89251,230725.3745
102185,04029800,58.59000015,45.69,15,184917.9,45.693,17764.53,5414.64,Little Buzzle,5414.639348,184917.9027
102186,04033100,83.47000122,166.85,15,675221.853,166.847,17779.284,5419.137,Dellwater,5419.136426,675221.8578
102187,04034200,100,131.82,15,533452.735,131.816,14319.26,4364.519,Moose,4364.519678,533452.7249
102188,04034300,34,339.5,15,1373930.002,339.498,78003.396,23775.483,Clearwater,23775.4819,1373929.99
102189,05000700,50.45999908,64.27,15,260100.341,64.271,27620.073,8418.615,Mayhew,8418.615962,260100.3521
102190,05001300,94.98000336,1240.12,15,5018708.537,1240.123,69426.841,21161.344,Little Rock,21161.34398,5018708.547
102191,06000200,99.66000366,1964.42,15,7949883.473,1964.416,109426.208,33353.175,Artichoke,33353.17514,7949883.457
102192,06002900,100,138.69,15,561289.85,138.695,24369.764,7427.919,Long Tom,7427.918875,561289.8541
102193,06013800,100,436.64,15,1767058.226,436.64,16188.997,4934.416,East Toqua,4934.41595,1767058.253
102194,06015200,74.84999847,9090.31,15,36787972.48,9090.308,533637.904,162653.158,Big Stone,162653.1584,36787972.41
