DOW,LAKE_NAME,LakeAreaAcres,Percentage_15ft_LittoralZone,15ft_LittoralZone_Acres,ObservedLittoralZone_Acres,Percentage_ObservedLittoralZone,Depth_ObservedLittoralZone
09016700,Fond du Lac Reservoir,95.861,47.70,95.86,95.86,47.70,15
09016800,Knife Falls Reservoir,39.01,71.42,39.01,39.01,71.42,15
09016900,Scanlon Reservoir,55.289,75.80,55.29,55.29,75.80,15
09017300,Cloquet Res.,213.236,80.81,213.24,213.24,80.81,15
10000200,Riley,110.083,37.18,110.08,85.56,28.90,10
10000600,Lotus,182.41,74.38,182.41,69.45,28.32,5
10000700,Lucy,68.273,75.48,68.27,57.89,64.00,10
10000900,Minnewashta,337.891,50.21,337.89,330.74,49.15,14
10001100,St. Joe,11.047,56.50,11.05,11.05,56.50,15
10001200,Ann,43.459,38.06,43.46,35.71,31.27,13
10001300,Susan,71.994,81.50,71.99,20.53,23.24,5
10001500,Virginia,76.504,72.93,76.50,76.50,72.93,15
10001800,Schutz,40.844,38.40,40.84,40.84,38.40,15
10001900,Bavaria,65.71,39.48,65.71,59.69,35.86,13
10002900,Miller,142.493,100.00,142.49,142.49,100.00,15
10004100,Zumbra-Sunny,156.44,67.12,156.44,133.59,57.32,11
10004200,Parley,244.782,94.93,244.78,138.55,53.73,6
10004401,West Auburn,63.279,43.83,63.28,63.28,43.83,15
10004402,East Auburn,109.16,74.55,109.16,109.16,74.55,15
10004500,Steiger,102.631,61.87,102.63,79.31,47.81,10
10004600,Church,10.102,63.12,10.10,9.69,60.52,14
10004800,Wassermann,120.238,73.17,120.24,54.20,32.99,4
10005100,Turbid,26.992,66.72,26.99,26.99,66.72,15
10005200,Reitz,55.102,59.90,55.10,38.37,41.72,6
10005300,Piersons,141.561,47.72,141.56,141.56,47.72,15
10005600,Stone,72.578,72.22,72.58,72.58,72.22,15
10005900,Waconia,1783.651,57.30,1783.65,1482.37,47.63,11.5
10008000,Rutz,57.35,100.00,57.35,57.35,100.00,15
10008400,Burandt,70.903,73.32,70.90,70.90,73.32,15
10008800,Hydes,171.617,77.00,171.62,32.76,14.70,4.5
10008900,Goose,302.154,100.00,302.15,130.22,43.10,4
10009300,Oak,360.466,98.03,360.47,180.39,49.05,4
10009400,Mud,216.124,100.00,216.12,216.12,100.00,15
10012000,Smith,20.081,99.85,20.08,20.08,99.85,15
10012100,Eagle,183.942,100.00,183.94,84.85,46.13,7.5
10021800,Unnamed (Grace),16.171,80.13,16.17,8.57,42.45,10
11000600,Morrison,92.713,56.40,92.71,92.71,56.40,15
11000901,Little Thunder (West Bay),56.955,25.02,56.95,56.95,25.02,15
11000902,Little Thunder (East Bay),14.161,46.56,14.16,14.16,46.56,15
11002600,Sugar,354.611,50.49,354.61,472.77,67.31,19
11003700,Leavitt,34.953,28.76,34.95,34.95,28.76,15
11004300,Roosevelt,302.228,19.94,302.23,302.23,19.94,15
11005300,Lawrence,93.172,41.43,93.17,93.17,41.43,15
11005400,Little Andrus,14.605,54.82,14.61,14.61,54.82,15
11005900,Washburn,720.553,45.06,720.55,695.96,43.52,14
11006200,Thunder,308.697,22.86,308.70,403.47,29.88,20
11006300,Little Bass,92.64,66.71,92.64,92.64,66.71,15
11006900,Bass,55.539,28.18,55.54,55.54,28.18,15
11007700,Big Sand,627.9,86.02,627.90,627.90,86.02,15
11008200,Cedar,12.275,58.99,12.27,12.27,58.99,15
11008600,Grave,135.698,36.46,135.70,135.70,36.46,15
