"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size"
"2017-1985","Crow Wing","Bay",18003400,2022,"EWM","2,4-D Amine",2022-06-27,2022-10-04,48.473
"2017-1985","Crow Wing","Bay",18003400,2024,"EWM","Platoon",2024-10-08,2024-10-09,33.68
"2017-2060","Wright","West Sylvia",86027900,2023,"SSW","Cutrine-Plus",2023-07-21,2023-07-21,1.7
"2017-2067","Washington","Elmo",82010600,2022,"EWM","ProcellaCOR EC",2022-06-22,2022-06-22,12
"2017-2067","Washington","Elmo",82010600,2023,"EWM","ProcellaCOR EC",2023-06-16,2023-06-16,12
"2017-2184","Anoka","Crooked",2008400,2020,"CLP","Tribune",2020-05-13,2020-05-13,5.9
"2017-2184","Anoka","Crooked",2008400,2021,"CLP","Tribune",2021-05-18,2021-05-18,1.9
"2017-2726","Hennepin","Sarah",27019100,2021,"EWM","Tribune",2021-06-22,2021-06-22,29.08
"2017-2726","Hennepin","Sarah",27019100,2023,"EWM","ProcellaCOR EC",2023-10-02,2023-10-02,23.12
"2017-2726","Hennepin","Sarah",27019100,2023,"EWM","Tribune",2023-06-23,2023-06-23,2.8
"2017-2726","Hennepin","Sarah",27019101,2022,"EWM","Tribune",2022-07-01,2022-07-01,8.76
"2017-2765","Le Sueur","Rays",40005600,2021,"EWM","2,4-D Amine",2021-06-08,2021-06-08,21.2
"2017-2771","Hennepin","Minnetonka",27013301,2020,"EWM","Kammo Plus",2020-07-08,2020-07-08,1
"2017-2870","Washington","White Bear",82016700,2021,"EWM","Triclopyr 3",2021-07-15,2021-07-15,26.67
"2017-2870","Washington","White Bear",82016700,2021,"EWM","Weedar 64",2021-07-15,2021-07-15,23.85
"2017-3015","Carlton","Bear",9003400,2020,"EWM","ProcellaCOR EC",2020-09-09,2020-09-09,0.76
"2017-3315","Ramsey","Turtle",62006100,2020,"EWM","ProcellaCOR",2020-07-02,2020-07-02,16.6
"2017-3315","Ramsey","Turtle",62006100,2021,"EWM","ProcellaCOR",2021-06-30,2021-06-30,29.85
"2017-3315","Ramsey","Turtle",62006100,2022,"EWM","ProcellaCOR",2022-06-28,2022-06-28,42.6
"2017-3409","Washington","Forest",82015900,2020,"FR","Tribune",2020-08-06,2020-09-02,11.05
"2017-365","Meeker","Long",47017700,2022,"CLP","Tribune",2022-05-22,2022-05-22,43.62
"2017-459","Wright","Beebe",86002300,2020,"EWM","2,4-D Amine",2020-07-31,2020-07-31,4
"2017-459","Wright","Silver",86014000,2020,"EWM","2,4-D Amine",2020-07-01,2020-07-01,6
"2018-0004","Cass","Roosevelt",11004300,2021,"EWM","ProcellaCOR",2021-08-05,2021-08-05,4.6
"2018-0035","Cass","Girl",11017400,2021,"EWM","ProcellaCOR",2021-08-04,2021-08-04,0.27
"2018-0093","Stearns","Two Rivers",73013800,2021,"CLP","Tribune",2021-05-11,2021-05-11,28.4
"2018-0093","Stearns","Two Rivers",73013800,2022,"CLP","Tribune",2022-05-25,2022-05-25,7.8
