Permit_number,County_name,Lake_parent_name,k_Lake_ID,App_year,species_code,Pesticide_trade_name,start_date,end_date,treatment_size,LAKE_NAME,LakeAreaAcres,Percentage_15ft_LittoralZone,15ft_LittoralZone_Acres,ObservedLittoralZone_Acres,Percentage_ObservedLittoralZone,Depth_ObservedLittoralZone,TreatmentSize_PercentofLake,TreatmentSize_PercentofLittoral
2017-0742,Hennepin,Diamond,27012500,2021,CLP,Sonar A.S.,4/7/2021,4/27/2021,810,Diamond,405.015,99.92,405.02,405.02,99.92,15,199.9925929,199.9901239
2017-0742,Hennepin,Diamond,27012500,2022,CLP,Sonar A.S.,4/20/2022,4/20/2022,405,Diamond,405.015,99.92,405.02,405.02,99.92,15,99.99629643,99.99506197
2017-0742,Hennepin,Diamond,27012500,2023,CLP,Tribune,5/15/2023,5/15/2023,45.1,Diamond,405.015,99.92,405.02,405.02,99.92,15,11.13539005,11.13525258
2017-0742,Hennepin,Diamond,27012500,2024,CLP,Tribune,4/24/2024,4/24/2024,59.7,Diamond,405.015,99.92,405.02,405.02,99.92,15,14.74019481,14.74001284
2017-0743,Aitkin,Gun,1009900,2020,CLP,Aquathol K,5/27/2020,5/27/2020,2.73,Gun,370.283,50.97,370.28,370.28,50.97,15,0.737273923,0.737279896
2017-0753,Hennepin,Mooney,27013400,2021,CLP,Dibrox,5/7/2021,5/7/2021,9.1,Mooney,123.79,100,123.79,100,123.79,15,7.351159221,9.1
2017-0820,Wright,Cedar,86022700,2020,CLP,Tribune,5/19/2020,5/19/2020,13.5,Cedar,276.719,35.33,276.72,263.25,33.61,14,4.878595254,5.128205128
2017-0823,Anoka,Linwood,2002600,2024,EWM,Platoon,8/26/2024,8/26/2024,28.8,Linwood,484.91,85.24,484.91,179.37,31.53,6,5.939246458,16.05619669
2017-0825,Stearns,Middle Spunk,73012800,2020,EWM,"2,4-D Amine",8/20/2020,8/20/2020,6.82,Middle Spunk,79.006,33.3,79.01,90.63,38.2,20,8.632255778,7.525102063
2017-0825,Stearns,Middle Spunk,73012800,2021,EWM,Platoon,8/9/2021,8/9/2021,1.23,Middle Spunk,79.006,33.3,79.01,90.63,38.2,20,1.556843784,1.357166501
2017-0825,Stearns,Middle Spunk,73012800,2022,EWM,"2,4-D Amine",8/4/2022,8/4/2022,18.3,Middle Spunk,79.006,33.3,79.01,90.63,38.2,20,23.16279776,20.19198941
2017-0828,Wright,Pulaski,86005302,2020,EWM,ProcellaCOR EC,7/22/2020,7/22/2020,17.2,Pulaski (main bay),138.767,18.97,138.77,183.91,25.14,20,12.39487774,9.352400631
2017-0828,Wright,Pulaski,86005302,2021,EWM,ProcellaCOR EC,7/9/2021,7/9/2021,16.7,Pulaski (main bay),138.767,18.97,138.77,183.91,25.14,20,12.03456153,9.080528519
2017-0830,Kanabec,Lewis,33003200,2021,CLP,Aquathol K,5/26/2021,5/26/2021,1.17,Lewis,80.875,45.45,80.88,77.83,43.74,14.4,1.446676971,1.503276372
2017-0830,Kanabec,Lewis,33003200,2024,CLP,Propeller,4/29/2025,4/29/2025,5.13,Lewis,80.875,45.45,80.88,77.83,43.74,14.4,6.343122102,6.591288706
2017-0857,Hennepin,Medicine,27010400,2021,CLP,Tribune,5/6/2021,5/6/2021,63.21,Medicine,434.53,46.74,434.53,434.53,46.74,15,14.54675166,14.54675166
2017-0857,Hennepin,Medicine,27010400,2022,SSW,Galleon SC,5/16/2022,5/16/2022,119.5,Medicine,434.53,46.74,434.53,434.53,46.74,15,27.50097807,27.50097807
2017-0871,Wright,Indian,86022300,2020,CLP,Aquathol K,5/27/2020,5/27/2020,2.5,Indian,57.132,42.41,57.13,21.34,15.84,7,4.375831408,11.71508903
2017-0871,Wright,Indian,86022300,2021,CLP,Aquathol K,5/5/2021,5/5/2021,4.6,Indian,57.132,42.41,57.13,21.34,15.84,7,8.051529791,21.55576382
2017-0871,Wright,Indian,86022300,2022,CLP,Aquathol K,5/23/2022,5/23/2022,2.73,Indian,57.132,42.41,57.13,21.34,15.84,7,4.778407898,12.79287723
2017-0873,Wright,Indian,86022300,2020,EWM,"2,4-D Amine",7/1/2020,7/1/2020,8.5,Indian,57.132,42.41,57.13,21.34,15.84,7,14.87782679,39.83130272
2017-0873,Wright,Indian,86022300,2022,EWM,"2,4-D Amine",7/25/2022,7/25/2022,5.75,Indian,57.132,42.41,57.13,21.34,15.84,7,10.06441224,26.94470478
2017-0892,Wright,Beebe,86002300,2022,CLP,Aquathol K,5/17/2022,5/17/2022,14.39,Beebe,179.487,58.99,179.49,162.18,53.3,12,8.017293732,8.872857319
2017-0892,Wright,Beebe,86002300,2023,CLP,Aquathol K,5/7/2023,5/7/2023,14.39,Beebe,179.487,58.99,179.49,162.18,53.3,12,8.017293732,8.872857319
2017-0917,Washington,Forest,82015900,2020,CLP,Aquathol K,5/12/2020,5/12/2020,59.31,Forest,1561.192,68.75,1561.19,1404.75,61.86,13,3.799020236,4.222103577
2017-0968,Hennepin,Crystal,27003400,2021,CLP,Aquathol K,5/10/2021,5/10/2021,5.1,Crystal,79.12,66.99,53,66.99,53,15,6.445904954,7.613076579
2017-0973,Crow Wing,Sebie,18016100,2020,CLP,Aquathol K,5/8/2020,5/8/2020,5.18,Sebie,185.31,63.14,117,63.14,117,15,2.795315957,8.203991131
2017-1005,Crow Wing,Upper South Long,18009600,2021,CLP,Aquathol K,5/19/2021,5/19/2021,7.8,Upper South Long,292.083,36.72,292.08,243.28,30.59,12,2.670473804,3.206182177
2017-1005,Crow Wing,Upper South Long,18009600,2022,CLP,Aquathol K,6/1/2022,6/1/2022,4.4,Upper South Long,292.083,36.72,292.08,243.28,30.59,12,1.50642112,1.808615587
2017-1027,Anoka,George,2009100,2020,CLP,Dibrox,5/11/2020,5/11/2020,46.9,George,383.264,78.66,383.26,383.26,78.66,15,12.23699591,12.23712362
