"","survey_id","DOW","SURVEY_START","lag0_before","lag0_after","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8"
"162",1002,"62000200",2018-06-20,1,0,1,0,0,0,0,0,0,0
"163",1003,"62000200",2019-07-17,1,0,1,1,0,0,0,0,0,0
"164",1004,"62000200",2020-07-09,1,0,1,1,1,0,0,0,0,0
"165",1006,"62000600",2024-06-27,1,0,1,1,1,1,0,0,0,0
"166",1007,"62000600",2024-07-24,1,0,1,1,1,1,0,0,0,0
"167",1008,"62000600",2024-08-20,1,0,1,1,1,1,0,0,0,0
"168",1009,"62000600",2024-09-11,1,0,1,1,1,1,0,0,0,0
"169",1010,"62000600",2025-06-23,1,0,1,1,1,1,1,0,0,0
"170",1011,"62000600",2025-08-25,1,0,1,1,1,1,1,0,0,0
"171",1061,"62005500",2024-06-14,1,0,2,0,1,1,2,2,2,0
"172",1062,"62005500",2024-07-09,1,0,2,0,1,1,2,2,2,0
"173",1063,"62005500",2024-08-06,1,0,2,0,1,1,2,2,2,0
"174",1064,"62005500",2025-06-02,1,0,1,2,0,1,1,2,2,2
"175",1065,"62005500",2025-07-02,1,0,1,2,0,1,1,2,2,2
"176",1066,"62005500",2025-08-04,1,0,1,2,0,1,1,2,2,2
"177",1112,"70002200",2022-04-11,0,1,1,1,1,0,0,0,0,0
"178",1119,"70002200",2019-04-26,0,1,0,0,0,0,0,0,0,0
"179",1120,"70002200",2019-06-14,1,0,0,0,0,0,0,0,0,0
"180",1121,"70002200",2019-09-03,1,0,0,0,0,0,0,0,0,0
"181",1122,"70002200",2020-06-05,1,0,1,0,0,0,0,0,0,0
"182",1124,"70007200",2019-07-29,1,0,0,0,0,0,0,0,0,0
"183",1125,"70007200",2020-07-20,1,0,1,0,0,0,0,0,0,0
"184",1126,"71001300",2017-06-12,1,0,0,0,0,0,0,0,0,0
"185",1127,"71001300",2017-07-26,1,0,0,0,0,0,0,0,0,0
"186",1129,"71001300",2018-06-10,1,0,1,0,0,0,0,0,0,0
"187",1130,"71001300",2018-07-21,1,0,1,0,0,0,0,0,0,0
"188",1131,"71001300",2019-05-18,1,0,1,1,0,0,0,0,0,0
"189",1132,"71001300",2019-07-25,1,0,1,1,0,0,0,0,0,0
"190",1133,"71001300",2020-05-20,1,0,1,1,1,0,0,0,0,0
"191",1134,"71001300",2020-07-21,1,0,1,1,1,0,0,0,0,0
"192",1135,"71001300",2021-05-15,0,0,1,1,1,1,0,0,0,0
"193",1136,"71001300",2021-06-13,0,0,1,1,1,1,0,0,0,0
"194",1137,"71001300",2021-07-22,0,0,1,1,1,1,0,0,0,0
"195",1138,"71001300",2022-05-21,0,1,0,1,1,1,1,0,0,0
"196",1139,"71001300",2022-07-19,1,1,0,1,1,1,1,0,0,0
"197",1140,"71001300",2023-05-20,0,1,1,0,1,1,1,1,0,0
"198",1141,"71001300",2023-07-21,1,0,1,0,1,1,1,1,0,0
"199",1142,"71001300",2024-07-19,1,0,1,1,0,1,1,1,1,0
"200",1143,"71001300",2025-07-14,1,0,1,1,1,0,1,1,1,1
"201",1152,"71014700",2018-08-10,1,0,1,0,0,0,0,0,0,0
"202",1153,"73001400",2017-07-28,1,0,0,0,0,0,0,0,0,0
"203",1154,"73001400",2018-07-16,1,0,1,0,0,0,0,0,0,0
"204",1163,"73008200",2020-07-31,1,0,0,0,1,0,0,0,0,0
"205",1164,"73008200",2022-06-21,0,0,0,1,0,0,1,0,0,0
"206",1165,"73008200",2023-09-12,0,0,0,0,1,0,0,1,0,0
"207",1166,"73008300",2020-07-31,1,0,0,0,0,0,0,0,0,0
"208",1169,"73008600",2020-07-15,1,0,0,0,0,0,0,0,0,0
"209",1170,"73008600",2022-06-21,1,0,1,1,0,0,0,0,0,0
"210",1171,"73008600",2023-09-12,1,0,1,1,1,0,0,0,0,0
"211",1172,"73008700",2020-07-15,1,0,0,0,0,0,0,0,0,0
"212",1175,"73008800",2020-07-15,1,0,0,0,0,0,0,0,0,0
"213",1176,"73008800",2022-06-21,1,0,1,1,0,0,0,0,0,0
"214",1177,"73008800",2023-09-12,0,0,1,1,1,0,0,0,0,0
"215",1178,"73008900",2020-08-04,1,0,0,0,0,0,0,0,0,0
"216",1179,"73008900",2022-06-21,0,0,1,1,0,0,0,0,0,0
"217",1183,"73013300",2020-08-22,0,0,0,0,1,0,0,0,0,0
"218",1184,"73013300",2022-06-21,1,0,1,0,0,0,1,0,0,0
"219",1185,"73013300",2022-09-28,1,0,1,0,0,0,1,0,0,0
"220",1188,"73013900",2020-07-30,1,0,0,0,1,0,0,0,0,0
"221",1196,"73015700",2020-08-15,1,0,0,0,1,0,0,0,0,0
"222",1197,"73015700",2022-06-21,1,0,1,1,0,0,1,0,0,0
"223",1198,"73015700",2022-09-28,1,0,1,1,0,0,1,0,0,0
"224",1199,"73015700",2023-08-07,0,0,1,1,1,0,0,1,0,0
"225",1263,"82010100",2024-06-18,1,0,0,0,0,0,0,0,0,0
"226",1264,"82010100",2025-06-19,1,0,1,0,0,0,0,0,0,0
"227",1281,"82010300",2025-06-19,1,0,0,0,0,0,0,0,0,0
"228",1349,"82016200",2023-04-25,0,1,1,1,1,1,0,0,0,0
"229",1386,"86002300",2017-08-15,1,0,0,0,0,0,0,0,0,0
"230",1387,"86002300",2022-06-15,1,0,1,1,1,1,1,0,0,0
"231",1398,"86023400",2018-07-12,1,0,1,0,0,0,0,0,0,0
"232",1400,"86028200",2017-07-28,1,0,0,0,0,0,0,0,0,0
"233",1401,"86028200",2018-07-17,1,0,1,0,0,0,0,0,0,0
