"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size","LAKE_NAME","LakeAreaAcres","15ft_LittoralZone_Acres","ObservedLittoralZone_Acres","Percentage_15ft_LittoralZone","Percentage_ObservedLittoralZone","Depth_ObservedLittoralZone","TreatmentSize_PercentofLake","TreatmentSize_PercentofLittoral","iceoff_est"
"2022-0385","Hennepin","Staring",27007800,2022,"CLP","Sonar A.S.",2022-05-11,2022-06-10,195,"Staring",156.217,156.22,147.75,95.05,89.9,12,124.826363327935,131.979695431472,NA
"2022-1832","Faribault","Bass",22007400,2025,"CLP","FlumigardSC",2025-05-08,2025-05-08,17.3,"Bass",152.236,152.24,86.68,77.04,43.87,9,11.3639349431146,19.9584679280111,82.3668365629963
"2022-1986","Ramsey","Owasso",62005600,2024,"CLP","Sonar A.S.",2024-03-21,2024-08-14,1499.6,"Owasso",284.178,284.18,257.72,76.05,68.97,10.5,527.697429076142,581.871798851467,67.9974014256029
"2022-1986","Ramsey","Owasso",62005600,2024,"CLP","Sonar A.S.",2024-03-21,2024-08-14,1499.6,"Owasso",284.178,284.18,257.72,76.05,68.97,10.5,527.697429076142,581.871798851467,67.9974014256029
"2023-0468","Waseca","Clear",81001401,2023,"CLP","Aquathol K",2023-05-09,2023-05-09,74.4,"Clear",563.674,563.67,215.16,86.89,33.16,8,13.1991186394973,34.5789180145008,104.286424751358
"2024-0169","Hennepin","Holiday",27009000,2025,"CLP","Galleon SC",2025-04-30,2025-04-30,4.2,"Holiday",8,8,8,100,100,NA,52.5,52.5,NA
"2025-1371","Le Sueur","Gorman",40003200,2025,"CLP","Aquathol K",2025-05-02,2025-05-02,36.2,"Gorman",521.104,521.1,102.45,100,19.66,4,6.94678989222881,35.3343094192289,84.9763467912093
NA,"Carver","Lotus",10000600,2024,"CLP","Sonar A.S.",2024-04-29,2024-04-29,245,"Lotus",182.41,182.41,69.45,74.38,28.32,5,134.312811797599,352.771778257739,67.9734955591252
NA,"Chisago","Green",13004100,2021,"CLP","Aquathol K",2021-05-11,2021-05-11,42.11,"Green",1809.49,1228,67.86,67.86,1228,15,2.32717506037613,62.0542292956086,86.3729231347611
NA,"Crow Wing","Crow Wing",18015500,2024,"CLP","Aquathol K",2024-05-08,2024-05-08,24,"Crow Wing",202.023,202.02,152.86,54.14,40.97,12,11.8798354642788,15.700641109512,76.2198548755859
